,time,process_effort_s,process_skill_use_s,process_workload_burnt,comms_total_words,comms_equity,triage_count,team_score,elapsed_ms,team_score_agg,critic_victim,noncritic_victim,BLUE_anger,BLUE_marking_skill,BLUE_mission_knowledge,BLUE_role,BLUE_anxiety,BLUE_gaming_experience,BLUE_sbsod,BLUE_rmie,BLUE_walking_skill,BLUE_transporting_skill,RED_anger,RED_marking_skill,RED_mission_knowledge,RED_role,RED_anxiety,RED_gaming_experience,RED_sbsod,RED_rmie,RED_walking_skill,RED_transporting_skill,GREEN_anger,GREEN_marking_skill,GREEN_mission_knowledge,GREEN_role,GREEN_anxiety,GREEN_gaming_experience,GREEN_sbsod,GREEN_rmie,GREEN_walking_skill,GREEN_transporting_skill,team_marking_skill_sd,team_rmie_mean,team_transporting_skill_sd,team_anger_sd,team_gaming_experience_sd,team_walking_skill_mean,team_transporting_skill_mean,team_mission_knowledge_mean,team_rmie_sd,team_anger_mean,team_sbsod_mean,team_sbsod_sd,team_gaming_experience_mean,team_mission_knowledge_sd,team_anxiety_mean,team_anxiety_sd,team_walking_skill_sd,team_marking_skill_mean,Blue,Green,Red,team,trial,time.1,filename,study,condition-id,condition-agent-name,map-order
0,00:00:00,24.25,24.216666666666665,0.0007883333333333332,50.33333333333334,14.133333333333333,0.0,0,50151,0,0.0,0.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:00:00.000000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
1,00:01:00,20.983333333333327,20.066666666666666,0.0,200.83333333333331,17.366666666666664,0.0,0,110430,0,0.0,0.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:01:00.171000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
2,00:02:00,26.58333333333333,13.071666666666667,0.010545,309.0,42.51666666666667,0.0,0,170625,0,0.0,0.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:02:00.459000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
3,00:03:00,20.45,9.43,0.006224333333333334,378.16666666666674,62.69999999999999,0.16666666666666666,10,230937,10,0.0,10.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:03:00.673000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
4,00:04:00,18.916666666666668,10.348333333333333,0.008927166666666667,449.33333333333326,88.13333333333333,0.16666666666666666,50,291252,60,1.0,0.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:04:01.033000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
5,00:05:00,25.616666666666664,11.606666666666667,0.009759166666666666,545.1666666666666,105.76666666666668,0.5,50,351635,110,1.0,0.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:05:01.272000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
6,00:06:00,25.6,12.876666666666665,0.002619833333333333,655.3333333333334,126.0,0.0,20,411767,130,0.0,20.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:06:01.647000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
7,00:07:00,22.21666666666667,12.371666666666668,0.005768766666666667,785.8333333333335,156.33333333333334,0.3333333333333333,60,471971,190,1.0,10.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:07:01.845000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
8,00:08:00,24.5,13.226666666666668,0.0096595,881.0,176.16666666666663,0.3333333333333333,60,532280,250,1.0,10.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:08:02.001000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
9,00:09:00,25.33333333333333,14.445,0.009556666666666666,966.3333333333335,195.66666666666663,0.3333333333333333,60,592611,310,1.0,10.0,2.5,6.11,120.0,Engineering_Specialist,2.5,4.0,4.87,0.667,0.262,12.3,1.0,5.17,100.0,Medical_Specialist,1.0,5.0,6.8,0.75,0.198,6.1,1.5,2.49,140.0,Transport_Specialist,1.75,5.0,5.87,0.9440000000000001,0.16,2.95,1.53,0.787,3.87,0.624,0.47100000000000003,0.207,7.1,120.0,0.11599999999999999,1.67,5.84,0.789,4.67,16.3,1.75,0.612,0.042,4.59,E001268,E001228,E000809,TM000321,T000842,0 days 00:09:02.365000000,HSRData_TrialMessages_Trial-T000842_Team-TM000321_Member-na_CondBtwn-ASI-UAZ-TA1_CondWin-na_Vers-1.metadata,asist3,7,UAZ,C-D
